text,spam
Wot u up 2 u weirdo?,false
500 free text msgs. Just text ok to 80488 and we'll credit your account,true
Hello which the site to download songs its urgent pls,false
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",false
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,true
For sale - arsenal dartboard. Good condition but no doubles or trebles!,true
Lol well don't do it without me. We could have a big sale together.,false
"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",true
Then get some cash together and I'll text jason,false
"Sorry, was in the bathroom, sup",false
